id,name,display_name_ja,main_class
herbs_and_spices,Herbs and Spices,ハーブとスパイス,Vegetables
vegetables,Vegetables,野菜,Vegetables
fruits,Fruits,果物,Fruits
nuts,Nuts,ナッツ,Fruits
cereals_and_cereal_products,Cereals and cereal products,穀物と穀物製品,Others
pulses,Pulses,豆類,Vegetables
teas,Teas,お茶,Vegetables
gourds,Gourds,ウリ科,Vegetables
coffee_and_coffee_products,Coffee and coffee products,コーヒー製品,Fruits
soy,Soy,大豆,Vegetables
cocoa_and_cocoa_products,Cocoa and cocoa products,ココア製品,Fruits
beverages,Beverages,飲料,Others
aquatic_foods,Aquatic foods,水産食品,Fish
animal_foods,Animal foods,動物性食品,Meat
milk_and_milk_products,Milk and milk products,牛乳と乳製品,Others
eggs,Eggs,卵,Meat
confectioneries,Confectioneries,菓子類,Others
baking_goods,Baking goods,製菓材料,Others
dishes,Dishes,料理,Others
snack_foods,Snack foods,スナック菓子,Others
baby_foods,Baby foods,ベビーフード,Others
unclassified,Unclassified,未分類,Others
fats_and_oils,Fats and oils,油脂類,Others